Layer,Sink_Score,Magic_Score,Other_Score,Probe_Score
0,0.0018691778182983398,0.0006608903408050537,0.006084907538525247,0.00286073386669159
1,0.0023568058013916015,0.008643341064453126,0.00555901513885237,0.006697978973388671
2,0.005343780517578125,0.004586696624755859,0.005368789573063295,0.005383118391036987
3,0.05606809139251708,0.01695399284362793,0.0021654666226897457,0.0033642590045928956
4,0.05629628777503968,0.001740741729736328,0.002306745830933203,0.0026813149452209473
5,0.0713796579837799,0.016559863090515138,0.00144267980540729,0.003629461079835892
6,0.05030402421951293,0.002160525321960449,0.002596253433580557,0.0026414072513580326
7,0.041994551420211794,0.016896474361419677,0.0029968331371425234,0.003539552092552185
8,0.051759357452392574,0.003294849395751953,0.0023931065611672753,0.0025577938556671145
9,0.05460235714912415,0.0028784990310668944,0.0024521981838421503,0.002147541344165802
10,0.05299244403839111,0.00342714786529541,0.002552185598799502,0.003329920172691345
11,0.03938891410827637,0.005348825454711914,0.003360798149075915,0.0029958510398864742
12,0.047220373153686525,0.004533684253692627,0.002750229986723194,0.004135883450508118
13,0.04792747259140014,0.005044728517532349,0.002849983475210728,0.00457000195980072
14,0.03987220883369445,0.0033714666962623594,0.003342226904768095,0.002738290876150131
15,0.036317481994628906,0.01565333306789398,0.003506390151951185,0.007142246514558792
16,0.03494973421096802,0.005220281332731247,0.0037270399936418517,0.0038249815255403524
17,0.047610793113708506,0.012044978141784669,0.0023348218756256817,0.012344188094139098
18,0.026802089214324948,0.00354459285736084,0.004248471797000777,0.004577178210020065
19,0.04078983783721923,0.020694649219512938,0.0030945315146107245,0.012769717127084732
20,0.03883079528808594,0.09950084686279297,0.0024302790078583377,0.01904289200901985
21,0.04236757755279541,0.012272071838378907,0.002482908859953724,0.012745298892259598
22,0.040138444900512694,0.02082662582397461,0.0028391568002100486,0.013968058824539184
23,0.023025565147399903,0.021145725250244142,0.0033752658648387606,0.012691991329193113
24,0.02028795719146729,0.018669459223747253,0.0038072679250568064,0.011217717546969652
25,0.03870912790298463,0.056472396850585936,0.0025437871186775956,0.02137441985309124
26,0.027122919559478757,0.036847615242004396,0.0033542746756805796,0.01884376868605614
27,0.029217967987060545,0.023321533203125,0.0033705220611117566,0.013205695301294326
28,0.03199013710021972,0.022593879699707033,0.0031471350344755506,0.011353657245635985
29,0.051571011543273926,0.008972930908203124,0.0019811583778939976,0.006801358461380004
30,0.044502882957458495,0.021800994873046875,0.002614127362432092,0.008402795791625978
31,0.017251148223876956,0.0545013427734375,0.004097593811190025,0.012435710430145264
32,0.014251592159271242,0.028863525390625,0.004737302981587117,0.008352724611759186
33,0.012689188718795777,0.006964111328125,0.004963561586966267,0.005433273911476136
34,0.008546152114868165,0.003932952880859375,0.005325340844342974,0.005601845681667328
35,0.008357911705970764,0.0009660720825195312,0.005385785335660314,0.0034727749228477484
