Layer,Sink_Score,Magic_Score,Other_Score,Probe_Score
0,0.0017932343482971191,0.0005918562412261963,0.00609447738505344,0.00271789014339447
1,0.00235560417175293,0.009412670135498047,0.005570061612106251,0.006528773307800292
2,0.005393886566162109,0.004941701889038086,0.0054014040228814375,0.005092762708663941
3,0.055700039863586424,0.015882718563079833,0.0022115726700503856,0.0032486653327941893
4,0.055947374105453494,0.0016078948974609375,0.002324727990420816,0.002651035785675049
5,0.0711032947897911,0.015659120678901673,0.0014837842189206183,0.003245861828327178
6,0.05063969135284424,0.0019665122032165526,0.0026032977423329183,0.002436023950576782
7,0.04244151592254639,0.016007375717163087,0.002980214964983266,0.003305981159210205
8,0.05150893211364747,0.00290374755859375,0.002405126766509379,0.0023577815294265744
9,0.05458887696266175,0.0026476204395294188,0.002471803178954811,0.0021454955637454985
10,0.05262866973876953,0.003035849332809448,0.0025567844864167978,0.0032998365163803096
11,0.03907341003417968,0.004168081283569336,0.0033798388795493496,0.002884257435798645
12,0.04708762168884277,0.004289448261260986,0.0027548549382975748,0.003975771367549896
13,0.0478326392173767,0.002827906608581543,0.0028453424921503156,0.0042833110690116884
14,0.03989265620708466,0.0016530320048332215,0.0033350021664697803,0.002595166563987732
15,0.03655946731567383,0.012449723482131959,0.0034685190169044915,0.006784194856882096
16,0.03475708484649658,0.0036987602710723878,0.003700983144352521,0.003500677570700645
17,0.047926664352416985,0.011243677139282227,0.0023317624518876313,0.01112037628889084
18,0.02658626317977905,0.002988365292549133,0.0042381020369339165,0.004524296410381794
19,0.04074080228805542,0.01698712110519409,0.0030640998040691787,0.011803917735815048
20,0.03909907341003418,0.08651113510131836,0.0024575875738397437,0.01604850113391876
21,0.044310626983642576,0.011728525161743164,0.0024202617917848702,0.011313142627477648
22,0.04101279258728027,0.01714468002319336,0.002788470463844562,0.011836196184158324
23,0.023266782760620115,0.018793010711669923,0.003390137318370807,0.011510649919509886
24,0.018870493173599245,0.01891850233078003,0.003900008173913879,0.011068857312202455
25,0.03704500198364258,0.06047090291976929,0.00255000876732687,0.020589125230908393
26,0.027377924919128417,0.03304734230041504,0.0033051613314926316,0.01664887184277177
27,0.030904006958007813,0.0226043701171875,0.0031886799389284487,0.013275010250508784
28,0.032813711166381834,0.018084335327148437,0.003118668137149269,0.010157353878021238
29,0.05195378303527831,0.008958244323730468,0.0018938666212526777,0.006900380849838257
30,0.04303109169006347,0.027039146423339842,0.0026571077565942596,0.008668922185897827
31,0.016739501953125003,0.052599334716796876,0.00429050520556753,0.011970000267028809
32,0.013705577850341797,0.0250244140625,0.004946362820380276,0.0079377681016922
33,0.012412159442901612,0.015732574462890624,0.005111571172313157,0.006460620164871216
34,0.008771739602088928,0.004027438163757324,0.005325448423606662,0.00522044375538826
35,0.00800712764263153,0.0007709860801696777,0.005478386209041748,0.0031874701380729667
