Layer,Sink_Score,Magic_Score,Other_Score,Probe_Score
0,0.010877914428710939,0.0041748046875,0.0,0.027763790554470487
1,0.0178033447265625,0.015521240234375,0.0,0.02777489556206597
2,0.027465209960937497,0.0048309326171875,0.0,0.027778710259331603
3,0.07697067260742188,0.000701904296875,0.0,0.027778455946180558
4,0.07438232421874999,0.000902557373046875,0.0,0.027762582567003043
5,0.08405765533447265,0.00042133331298828126,0.0,0.027778858608669705
6,0.06942108154296875,0.001166534423828125,0.0,0.027779838773939348
7,0.05997657775878906,0.001140594482421875,0.0,0.027780818939208984
8,0.07039886474609373,0.00128173828125,0.0,0.027764691246880423
9,0.07055019378662108,0.00042400360107421877,0.0,0.027775696913401288
10,0.05826065063476563,0.001434326171875,0.0,0.027764161427815758
11,0.052212677001953124,0.0013275146484375,0.0,0.027782906426323785
12,0.05619293212890625,0.0020904541015625,0.0,0.02777254316541884
13,0.06340370178222657,0.001415252685546875,0.0,0.027787468168470598
14,0.04837059020996094,0.00100555419921875,0.0,0.02778243488735623
15,0.04293701171875,0.000792694091796875,0.0,0.02777562671237522
16,0.048689575195312494,0.0005615234375,0.0,0.027771880891588004
17,0.05676406860351563,0.0007869720458984375,0.0,0.027775875727335614
18,0.033716354370117184,0.000274658203125,0.0,0.027780792448255754
19,0.0488079833984375,0.0005680084228515625,0.0,0.027775997585720486
20,0.068004150390625,0.00254364013671875,0.0,0.027776400248209637
21,0.06537384033203124,0.0051422119140625,0.0,0.02778165605333116
22,0.054409179687499996,0.00233917236328125,0.0,0.02778051164415148
23,0.0463067626953125,0.0045135498046875,0.0,0.027776230706108945
24,0.0405804443359375,0.0054534912109375,0.0,0.027782736884223093
25,0.06419876098632812,0.001706695556640625,0.0,0.027759499020046662
26,0.0452252197265625,0.00309600830078125,0.0,0.027776209513346355
27,0.05131591796874999,0.00288238525390625,0.0,0.027768898010253906
28,0.053702392578125,0.0048980712890625,0.0,0.02777370876736111
29,0.0658392333984375,0.0043853759765625,0.0,0.027762010362413193
30,0.055936279296875,0.007159423828125,0.0,0.027772140502929688
31,0.045428161621093754,0.019970703125,0.0,0.027782948811848958
32,0.05040939331054688,0.014306640625,0.0,0.027782694498697913
33,0.06582130432128906,0.01063232421875,0.0,0.027789290746053057
34,0.021622810363769528,0.0029571533203125,0.0,0.027770943111843534
35,0.029301834106445313,0.0024688720703125,0.0,0.027777306238810223
