Layer,Sink_Score,Other_Score,Probe_Score
0,0.014585222778320289,0.0,0.21350010986328125
1,0.03980943115234373,0.0,0.1504685302734375
2,0.047496011962890744,0.0,0.13125423583984375
3,0.09385155303955038,0.0,0.01534662628173828
4,0.08406152816772446,0.0,0.039852933883666994
5,0.08739767028808589,0.0,0.03148969383239746
6,0.0840960630798339,0.0,0.03975984344482422
7,0.09055208862304677,0.0,0.023636456298828126
8,0.08793200126647938,0.0,0.030172888946533204
9,0.07889479858398427,0.0,0.05275936431884766
10,0.07768805938720681,0.0,0.05577434539794922
11,0.06543508163452143,0.0,0.08640719451904297
12,0.0655234329986569,0.0,0.08619075317382813
13,0.0733251651000974,0.0,0.0667167594909668
14,0.06378290802001922,0.0,0.0905372528076172
15,0.06948230804443353,0.0,0.07629302978515624
16,0.05722994293212884,0.0,0.10691897277832031
17,0.07755269866943344,0.0,0.05611749572753906
18,0.049660747375488215,0.0,0.1258482177734375
19,0.07463559570312475,0.0,0.06340359191894532
20,0.08956637939453142,0.0,0.026093058776855468
21,0.08559023803710929,0.0,0.03601802673339844
22,0.08622027069091794,0.0,0.03444533233642578
23,0.07978839233398441,0.0,0.050527676391601564
24,0.07857509399414046,0.0,0.053556875610351565
25,0.08733653564453121,0.0,0.03167316284179687
26,0.07951082885742182,0.0,0.0512200927734375
27,0.07338901184082035,0.0,0.06652139434814452
28,0.061280313720703215,0.0,0.09679721069335938
29,0.07824101562500002,0.0,0.054394291687011716
30,0.07887924041748072,0.0,0.05277490386962891
31,0.08178345062255855,0.0,0.04553539581298828
32,0.09716332809448229,0.0,0.0070903667449951175
33,0.09704188099384302,0.0,0.007384926509857177
34,0.07380062973022473,0.0,0.06549940185546875
35,0.05905219898223879,0.0,0.10236700744628906
